"site","Replication","Nspecies_wildbees","abundance_wildbees","seminat100","forest100","grass100","orchard100","crop100","artificial100","openSNH100","closeSNH100","seminat250","forest250","grass250","orchard250","crop250","artificial250","openSNH250","closeSNH250","seminat500","forest500","grass500","orchard500","crop500","artificial500","openSNH500","closeSNH500","seminat1000","forest1000","grass1000","orchard1000","crop1000","artificial1000","openSNH1000","closeSNH1000","seminat2000","forest2000","grass2000","orchard2000","crop2000","artificial2000","openSNH2000","closeSNH2000","heterog100","heterog250","heterog500","heterog1000","heterog2000","multidiversity","management","Apis.mellifera"
"174_OAC",1,2,3,0,0,0,83.9,83.9,16,0,0,2.4,2.2,0,76.1,76.1,15,0,2.3,14,7.1,6.9,62.8,65.1,16.8,6.9,7.1,26.2,10,15.9,58.6,60.5,11.2,16,10.2,46.1,36.1,9.8,41.6,42.8,9.5,9.7,36.3,0.550353616882477,0.883982099747281,1.42161697168553,1.52653809081156,1.8779015636232,2.84,"IPM",5
"174_OAC",2,8,14,0,0,0,83.9,83.9,16,0,0,2.4,2.2,0,76.1,76.1,15,0,2.3,14,7.1,6.9,62.8,65.1,16.8,6.9,7.1,26.2,10,15.9,58.6,60.5,11.2,16,10.2,46.1,36.1,9.8,41.6,42.8,9.5,9.7,36.3,0.550353616882477,0.883982099747281,1.42161697168553,1.52653809081156,1.8779015636232,2.84,"IPM",0
"174_OAC",3,13,60,0,0,0,83.9,83.9,16,0,0,2.4,2.2,0,76.1,76.1,15,0,2.3,14,7.1,6.9,62.8,65.1,16.8,6.9,7.1,26.2,10,15.9,58.6,60.5,11.2,16,10.2,46.1,36.1,9.8,41.6,42.8,9.5,9.7,36.3,0.550353616882477,0.883982099747281,1.42161697168553,1.52653809081156,1.8779015636232,2.84,"IPM",2
"175_OAC",3,4,10,0,0,0,94.1,94.1,5.9,0,0,0,0,0,91.5,91.5,8.5,0,0,0.2,0,0.1,89.1,90.1,9.6,0.1,0.1,0.9,0.1,0.7,78.1,82.4,14.8,0.8,0.2,10.4,8.5,1.5,54.9,59.5,26.9,1.5,9,0.233791658706459,0.352343550395016,0.460296686958968,0.848477377303987,1.47433415885376,0.7,"IPM",3
"175_OAC",1,0,0,0,0,0,94.1,94.1,5.9,0,0,0,0,0,91.5,91.5,8.5,0,0,0.2,0,0.1,89.1,90.1,9.6,0.1,0.1,0.9,0.1,0.7,78.1,82.4,14.8,0.8,0.2,10.4,8.5,1.5,54.9,59.5,26.9,1.5,9,0.233791658706459,0.352343550395016,0.460296686958968,0.848477377303987,1.47433415885376,0.7,"IPM",13
"175_OAC",2,2,2,0,0,0,94.1,94.1,5.9,0,0,0,0,0,91.5,91.5,8.5,0,0,0.2,0,0.1,89.1,90.1,9.6,0.1,0.1,0.9,0.1,0.7,78.1,82.4,14.8,0.8,0.2,10.4,8.5,1.5,54.9,59.5,26.9,1.5,9,0.233791658706459,0.352343550395016,0.460296686958968,0.848477377303987,1.47433415885376,0.7,"IPM",90
"177_OAC",3,8,27,0,0,0,95.5,95.5,4.5,0,0,2,0,0,75.9,75.9,14,0,2,1.3,0,0.1,81.8,82.2,11,0.1,1.2,1,0,0.2,80.9,81.4,13.8,0.2,0.9,23.2,21.3,1.3,62.5,63.5,11.1,1.4,21.8,0.142505867392738,0.76545041449426,0.662380369967422,0.745574458905504,1.32965480207302,2.25,"IPM",6
"177_OAC",2,1,1,0,0,0,95.5,95.5,4.5,0,0,2,0,0,75.9,75.9,14,0,2,1.3,0,0.1,81.8,82.2,11,0.1,1.2,1,0,0.2,80.9,81.4,13.8,0.2,0.9,23.2,21.3,1.3,62.5,63.5,11.1,1.4,21.8,0.142505867392738,0.76545041449426,0.662380369967422,0.745574458905504,1.32965480207302,2.25,"IPM",12
"177_OAC",1,3,4,0,0,0,95.5,95.5,4.5,0,0,2,0,0,75.9,75.9,14,0,2,1.3,0,0.1,81.8,82.2,11,0.1,1.2,1,0,0.2,80.9,81.4,13.8,0.2,0.9,23.2,21.3,1.3,62.5,63.5,11.1,1.4,21.8,0.142505867392738,0.76545041449426,0.662380369967422,0.745574458905504,1.32965480207302,2.25,"IPM",6
"179_OAC",2,0,0,0,0,0,90.3,90.3,9.7,0,0,0,0,0,94.1,94.1,5.9,0,0,0.5,0,0.5,89.8,89.9,9.6,0.5,0,0.9,0,0.5,75.7,75.8,22,0.5,0.4,5.1,3.6,0.4,62.7,73.4,18.7,0.4,4.8,0.317936780262242,0.216162232494435,0.379675456721574,0.806471692718689,1.30693073460556,1.01,"IPM",285
"179_OAC",3,5,7,0,0,0,90.3,90.3,9.7,0,0,0,0,0,94.1,94.1,5.9,0,0,0.5,0,0.5,89.8,89.9,9.6,0.5,0,0.9,0,0.5,75.7,75.8,22,0.5,0.4,5.1,3.6,0.4,62.7,73.4,18.7,0.4,4.8,0.317936780262242,0.216162232494435,0.379675456721574,0.806471692718689,1.30693073460556,1.01,"IPM",2
"179_OAC",1,0,0,0,0,0,90.3,90.3,9.7,0,0,0,0,0,94.1,94.1,5.9,0,0,0.5,0,0.5,89.8,89.9,9.6,0.5,0,0.9,0,0.5,75.7,75.8,22,0.5,0.4,5.1,3.6,0.4,62.7,73.4,18.7,0.4,4.8,0.317936780262242,0.216162232494435,0.379675456721574,0.806471692718689,1.30693073460556,1.01,"IPM",11
"180_OAC",1,8,41,4.7,1.7,3,24.7,64.1,28.7,3,1.7,20.8,17.2,3.2,26.8,52.6,23.4,3.2,17.6,23.8,21.5,1.5,15.5,43.4,30.4,1.5,22.3,49.8,42,5.7,9.8,28.2,19.6,6.2,43.5,51.1,44.9,4.4,12,29.5,16.7,4.6,46.6,1.48234830731523,1.92014111729578,1.83418668519984,2.07699411643111,2.10435693161971,3.11,"IPM",20
"180_OAC",2,16,139,4.7,1.7,3,24.7,64.1,28.7,3,1.7,20.8,17.2,3.2,26.8,52.6,23.4,3.2,17.6,23.8,21.5,1.5,15.5,43.4,30.4,1.5,22.3,49.8,42,5.7,9.8,28.2,19.6,6.2,43.5,51.1,44.9,4.4,12,29.5,16.7,4.6,46.6,1.48234830731523,1.92014111729578,1.83418668519984,2.07699411643111,2.10435693161971,3.11,"IPM",178
"180_OAC",3,15,89,4.7,1.7,3,24.7,64.1,28.7,3,1.7,20.8,17.2,3.2,26.8,52.6,23.4,3.2,17.6,23.8,21.5,1.5,15.5,43.4,30.4,1.5,22.3,49.8,42,5.7,9.8,28.2,19.6,6.2,43.5,51.1,44.9,4.4,12,29.5,16.7,4.6,46.6,1.48234830731523,1.92014111729578,1.83418668519984,2.07699411643111,2.10435693161971,3.11,"IPM",47
"182_OAO",3,4,4,19.7,0,19.7,74.2,74.2,6,19.8,0,35.3,0,35.3,55,59.1,5.5,35.3,0,41.8,3.2,36.6,38.3,45.2,12.8,36.5,5.1,57.9,31.6,25.1,19.6,24.6,16.5,25,33,60.6,36.7,23,14.6,18.8,17,23,37.5,0.716141457941318,1.0344962608358,1.58928020537191,2.11241220230532,2.21062088311506,2.86,"organic",8
"182_OAO",1,3,4,19.7,0,19.7,74.2,74.2,6,19.8,0,35.3,0,35.3,55,59.1,5.5,35.3,0,41.8,3.2,36.6,38.3,45.2,12.8,36.5,5.1,57.9,31.6,25.1,19.6,24.6,16.5,25,33,60.6,36.7,23,14.6,18.8,17,23,37.5,0.716141457941318,1.0344962608358,1.58928020537191,2.11241220230532,2.21062088311506,2.86,"organic",97
"182_OAO",2,3,5,19.7,0,19.7,74.2,74.2,6,19.8,0,35.3,0,35.3,55,59.1,5.5,35.3,0,41.8,3.2,36.6,38.3,45.2,12.8,36.5,5.1,57.9,31.6,25.1,19.6,24.6,16.5,25,33,60.6,36.7,23,14.6,18.8,17,23,37.5,0.716141457941318,1.0344962608358,1.58928020537191,2.11241220230532,2.21062088311506,2.86,"organic",112
"183_OAO",3,10,39,6.3,0,4.5,84.5,84.6,9.1,4.5,1.8,1.9,0,1.3,72.6,73,23.8,1.4,0.6,3.6,1.2,1.7,58.6,60.7,34.9,1.7,1.9,21.3,19,1.4,48.8,50.6,24.6,1.3,19.9,35.3,31.2,3.5,45.3,46.9,15.6,3.5,31.7,0.757904841974457,0.904958207282063,1.16204562815941,1.63625514986648,1.68774665925733,2.13,"organic",204
"183_OAO",2,5,10,6.3,0,4.5,84.5,84.6,9.1,4.5,1.8,1.9,0,1.3,72.6,73,23.8,1.4,0.6,3.6,1.2,1.7,58.6,60.7,34.9,1.7,1.9,21.3,19,1.4,48.8,50.6,24.6,1.3,19.9,35.3,31.2,3.5,45.3,46.9,15.6,3.5,31.7,0.757904841974457,0.904958207282063,1.16204562815941,1.63625514986648,1.68774665925733,2.13,"organic",52
"183_OAO",1,3,3,6.3,0,4.5,84.5,84.6,9.1,4.5,1.8,1.9,0,1.3,72.6,73,23.8,1.4,0.6,3.6,1.2,1.7,58.6,60.7,34.9,1.7,1.9,21.3,19,1.4,48.8,50.6,24.6,1.3,19.9,35.3,31.2,3.5,45.3,46.9,15.6,3.5,31.7,0.757904841974457,0.904958207282063,1.16204562815941,1.63625514986648,1.68774665925733,2.13,"organic",19
"184_OAO",2,8,16,0,0,0,91.4,91.4,8.6,0,0,26.7,26.7,0,61.5,64.8,5.9,0,26.7,36.8,34,2.8,43.6,48.8,13.3,2.8,34,42.9,39.9,2.9,36.6,40.5,13.7,2.8,40,55.5,44.9,10.3,32.3,34,8.6,10.3,45.3,0.311129154811849,1.14520854852752,1.48518511907213,1.76891910465652,2.04432948765217,2.37,"organic",58
"184_OAO",3,11,62,0,0,0,91.4,91.4,8.6,0,0,26.7,26.7,0,61.5,64.8,5.9,0,26.7,36.8,34,2.8,43.6,48.8,13.3,2.8,34,42.9,39.9,2.9,36.6,40.5,13.7,2.8,40,55.5,44.9,10.3,32.3,34,8.6,10.3,45.3,0.311129154811849,1.14520854852752,1.48518511907213,1.76891910465652,2.04432948765217,2.37,"organic",235
"184_OAO",1,5,12,0,0,0,91.4,91.4,8.6,0,0,26.7,26.7,0,61.5,64.8,5.9,0,26.7,36.8,34,2.8,43.6,48.8,13.3,2.8,34,42.9,39.9,2.9,36.6,40.5,13.7,2.8,40,55.5,44.9,10.3,32.3,34,8.6,10.3,45.3,0.311129154811849,1.14520854852752,1.48518511907213,1.76891910465652,2.04432948765217,2.37,"organic",65
"185_OAO",1,1,1,17.6,17.6,0,56.9,68.8,13.4,0,17.6,4.6,3.6,1.1,51.2,68.1,26.6,1,3.5,2.6,1.8,0.9,58.5,70.6,22.1,0.9,1.8,7.4,5.8,0.8,48.9,60.1,27.4,0.9,6.6,23.6,18.7,4.2,35.1,42.6,27.8,4.2,19.3,1.24401669579289,1.3754589109595,1.32267925045643,1.58417319606194,1.9298759622476,2.77,"organic",53
